"Method","ANO","EM","PFD","par_1","par_2","par_3","UN","UP","SN","SP"
"MC",2010,28.4424169863256,"NORMAL",29.0155627794043,1.15327740233225,0,0.0779024067167008,0.0779024067167008,26.2266842502509,30.6581497224003
"MC",2011,24.9968655603021,"NORMAL",25.5801305845026,1.17734351472559,0,0.0902087219090258,0.0902087219090258,22.7419302663755,27.2518008542287
"MC",2012,26.8694467738247,"NORMAL",27.6914432583017,1.18849287512801,0,0.0841199647633038,0.0841199647633038,24.6091898580011,29.1297036896483
"MC",2013,30.3124040908749,"NORMAL",30.86107051259,1.36052003305385,0,0.0864056308073608,0.0864056308073607,27.6932416941152,32.9315664876345
"MC",2014,30.9226062432686,"NORMAL",31.5135486813051,1.45810701348409,0,0.0906859859210152,0.0906859859210151,28.1183592088504,33.7268532776867
"MC",2015,32.7802628442208,"NORMAL",33.4824987256608,1.34482535166135,0,0.0787219997034628,0.0787219997034627,30.1997350023186,35.360790686123
"MC",2016,32.629167708574,"NORMAL",33.3526089632148,1.33263511231333,0,0.0783122192194425,0.0783122192194425,30.0739051740322,35.1844302431158
"MC",2017,25.7042318371931,"NORMAL",26.1428212153972,1.08675658329635,0,0.0814756657543963,0.0814756657543963,23.6099624355524,27.7985012388337
"MC",2018,27.8034608725362,"NORMAL",28.2190979445721,1.25941293831783,0,0.0874728173669887,0.0874728173669887,25.3714138174626,30.2355079276098
